Timestamp,1. Rank,2. How many years have you been working in the NICU/SCBU? ,3. Did you complete any specialty courses (e.g PRCC)?,"1. According to American Academy of Pediatrics (AAP), what is the ideal sound level in NICU?",2. When does a fetus start to hear sounds?,3. Which of the following about sleep is true?,4. When does a fetus start to hear and habituate to sounds outside the uterus and respond like an adult?,5. Which of the following statement is true?,6. What are the long term adverse effects of prolonged exposure of sound over 60dB on an infant?,7. Which of the following nursing intervention(s) can promote infant? brain development?,8. How many hours of sleep does a preterm baby need?,"9. Fetal development of the sensory system occurs in a specific sequence, which of the following is true?",10. What is/are the direct physiological adverse effect(s) of noise exposure on neonates?,11. What is the duration of a normal sleep cycle for a newborn?,1. I speak quietly in the patient cubicles.,2. I respond to the alarms in NICU immediately.,3. I put items on top of the incubators in NICU.,4. I check the alarm volume of equipment/ devices routinely.,5. I use incubator cover or dim light in the cubicles of NICU.,"6. I do nursing procedures such as changing diapers, suctioning, and monitoring temperature according to the schedule.",7. Bright light is necessary in an NICU working environment.,8. Implementation of quiet time can reduce noise level in NICU. ,9. Noise is avoidable in NICU working environment.,10. The light intensity and the noise level rarely cause physiological instability of infants in NICU.,11. A fixed-time routine care provides adequate rest and sleep to infants in NICU.,12. Providing adequate sleep and rest are important nursing care for preterm and critically ill infants.,13. The light intensity and the noise level rarely interrupt an infant's sleep pattern in NICU.,14. The key role of nurses is to provide an optimal environment for an infant's growth and development.,15. Clustered care should be done every 4 hours.,"For question 15, if you choose disagree/ strongly disagree, please state how many _______ hour(s) that you prefer.",Telephone number (last 4 digits)
2021/08/20 4:27:04 AM GMT+8,RN,> 10years,No,Below 50 dB,27 weeks of gestational age,A,19-22 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,B,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,D,60 minutes,Often,Always,Often,Sometimes,Always,Always,Agree,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,,1408
2021/09/16 9:21:46 PM GMT+8,RN,2-5 years,No,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,,,,,,,,,,,,,,,,,1578
2021/08/22 3:55:22 PM GMT+8,RN,6 -10 years,Yes,Below 40 dB,22 weeks of gestational age,D,24-28 weeks of gestational age,A preterm newborn can distinguish sound of different intensities and frequencies.,A,D,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,D,45 minutes,Often,Often,Often,Sometimes,Always,Often,Agree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Neutral,,2061
2021/08/22 6:21:30 PM GMT+8,RN,2-5 years,No,Below 40 dB,22 weeks of gestational age,D,29-32 weeks of gestational age,A preterm newborn can distinguish sound of different intensities and frequencies.,A,D,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,D,60 minutes,Sometimes,Always,Always,Sometimes,Often,Often,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,,2222
2021/08/26 2:39:03 AM GMT+8,RN,<2 years,No,Below 45 dB,17 weeks of gestational age,A,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,C,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,,,,,,,,,,,,,,,,,2588
2021/09/03 6:41:51 PM GMT+8,RN,6 -10 years,Yes,Below 40 dB,12 weeks of gestational age,C,14-18 weeks of gestational age,A preterm newborn is able to identify between his/her mother? voice and other females.,D,D,More than 18 hours,Hearing -> Smell and Taste -> Vestibular -> Vision ->Touch,B,30 minutes,Often,Often,Sometimes,Rarely,Always,Often,Neutral,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,6,2705
2021/08/20 4:22:12 AM GMT+8,RN,2-5 years,Yes,Below 45 dB,17 weeks of gestational age,D,19-22 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,D,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,C,45 minutes,Often,Often,Rarely,Always,Always,Always,Neutral,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,,3184
2021/08/20 5:46:12 AM GMT+8,RN,2-5 years,No,Below 45 dB,22 weeks of gestational age,D,19-22 weeks of gestational age,A preterm newborn can distinguish sound of different intensities and frequencies.,D,B,More than 18 hours,Hearing -> Smell and Taste -> Vestibular -> Vision ->Touch,B,45 minutes,Sometimes,Often,Sometimes,Sometimes,Often,Often,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,,3422
2021/08/20 5:41:44 AM GMT+8,RN,<2 years,No,Below 40 dB,22 weeks of gestational age,A,29-32 weeks of gestational age,A preterm newborn can distinguish sound of different intensities and frequencies.,D,A,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,A,60 minutes,Often,Always,Sometimes,Sometimes,Rarely,Rarely,Neutral,Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,,3440
2021/08/26 12:18:28 AM GMT+8,RN,<2 years,No,Below 50 dB,12 weeks of gestational age,B,19-22 weeks of gestational age,A preterm newborn can distinguish sound of different intensities and frequencies.,A,D,More than 18 hours,Smell and Taste -> Vestibular ->Touch -> Sight -> Vision,B,30 minutes,Sometimes,Often,Often,Sometimes,Always,Always,Neutral,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,,4901
2021/08/22 2:46:22 PM GMT+8,RN,<2 years,No,Below 40 dB,12 weeks of gestational age,C,24-28 weeks of gestational age,A preterm newborn is able to identify between his/her mother? voice and other females.,C,D,More than 18 hours,Hearing -> Smell and Taste -> Vestibular -> Vision ->Touch,D,60 minutes,Sometimes,Always,Sometimes,Sometimes,Always,Often,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,,5008
2021/08/20 3:33:03 AM GMT+8,RN,2-5 years,No,Below 50 dB,22 weeks of gestational age,C,24-28 weeks of gestational age,A preterm newborn is able to identify between his/her mother? voice and other females.,D,D,More than 18 hours,Hearing -> Smell and Taste -> Vestibular -> Vision ->Touch,C,60 minutes,Often,Always,Rarely,Never,Always,Always,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,,5221
2021/09/02 9:12:34 PM GMT+8,RN,2-5 years,No,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,,,,,,,,,,,,,,,,,5399
2021/08/20 6:44:57 PM GMT+8,RN,6 -10 years,Yes,Below 40 dB,17 weeks of gestational age,D,24-28 weeks of gestational age,A preterm newborn can distinguish sound of different intensities and frequencies.,A,D,More than 18 hours,Hearing -> Smell and Taste -> Vestibular -> Vision ->Touch,D,45 minutes,Often,Always,Often,Always,Always,Often,Neutral,Agree,Disagree,Agree,Agree,Agree,Neutral,Strongly Agree,Neutral,,5541
2021/08/20 3:41:19 AM GMT+8,RN,6 -10 years,No,Below 40 dB,17 weeks of gestational age,D,14-18 weeks of gestational age,Basic auditory structure is started to form at 20 weeks of gestational age.,D,D,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,45 minutes,Often,Always,Sometimes,Rarely,Often,Always,Neutral,Strongly Agree,Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,5550
2021/09/04 2:45:36 PM GMT+8,RN,> 10years,Yes,Below 40 dB,17 weeks of gestational age,C,14-18 weeks of gestational age,A preterm newborn can distinguish sound of different intensities and frequencies.,C,D,More than 18 hours,Hearing -> Smell and Taste -> Vestibular -> Vision ->Touch,B,90 minutes,Often,Always,Rarely,Sometimes,Always,Often,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,,5933
2021/08/20 4:42:29 AM GMT+8,RN,6 -10 years,Yes,Below 40 dB,22 weeks of gestational age,D,19-22 weeks of gestational age,A preterm newborn can distinguish sound of different intensities and frequencies.,D,C,16-18 hours,Smell and Taste -> Vestibular ->Touch -> Sight -> Vision,D,30 minutes,Often,Always,Rarely,Sometimes,Always,Sometimes,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,,6161
2021/08/20 3:48:16 AM GMT+8,RN,2-5 years,No,Below 40 dB,17 weeks of gestational age,D,24-28 weeks of gestational age,Basic auditory structure is started to form at 20 weeks of gestational age.,A,D,More than 18 hours,Hearing -> Smell and Taste -> Vestibular -> Vision ->Touch,B,90 minutes,Often,Often,Rarely,Sometimes,Often,Always,Disagree,Strongly Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Neutral,,6382
2021/08/20 12:52:59 AM GMT+8,RN,2-5 years,No,Below 50 dB,22 weeks of gestational age,B,24-28 weeks of gestational age,A preterm newborn can distinguish sound of different intensities and frequencies.,A,C,16-18 hours,Smell and Taste -> Vestibular ->Touch -> Sight -> Vision,B,45 minutes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,6762
2021/08/22 4:04:06 PM GMT+8,RN,6 -10 years,Yes,Below 40 dB,12 weeks of gestational age,D,29-32 weeks of gestational age,A preterm newborn can distinguish sound of different intensities and frequencies.,A,D,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,D,60 minutes,Often,Often,Often,Rarely,Always,Often,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,,7674
2021/09/16 9:22:21 PM GMT+8,RN,<2 years,No,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,D,60 minutes,,,,,,,,,,,,,,,,,7900
2021/09/03 2:58:49 PM GMT+8,RN,2-5 years,No,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,,,,,,,,,,,,,,,,,7951
2021/08/20 3:50:43 AM GMT+8,RN,2-5 years,No,Below 50 dB,17 weeks of gestational age,B,24-28 weeks of gestational age,A preterm newborn can distinguish sound of different intensities and frequencies.,C,D,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,D,45 minutes,Always,Always,Rarely,Always,Always,Always,Disagree,Strongly Agree,Neutral,Disagree,Agree,Agree,Disagree,Agree,Agree,,7957
2021/08/20 10:21:54 PM GMT+8,RN,6 -10 years,Yes,Below 50 dB,22 weeks of gestational age,D,24-28 weeks of gestational age,A preterm newborn is able to identify between his/her mother? voice and other females.,C,B,More than 18 hours,Hearing -> Smell and Taste -> Vestibular -> Vision ->Touch,B,90 minutes,Sometimes,Often,Sometimes,Sometimes,Often,Always,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,,8004
2021/08/20 3:36:30 AM GMT+8,RN,<2 years,No,Below 40 dB,27 weeks of gestational age,B,24-28 weeks of gestational age,Basic auditory structure is started to form at 20 weeks of gestational age.,A,D,More than 18 hours,Hearing -> Smell and Taste -> Vestibular -> Vision ->Touch,D,45 minutes,Often,Often,Rarely,Never,Always,Always,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Neutral,,8048
2021/08/20 10:21:54 PM GMT+8,RN,6 -10 years,Yes,Below 50 dB,22 weeks of gestational age,D,24-28 weeks of gestational age,A preterm newborn is able to identify between his/her mother? voice and other females.,C,B,More than 18 hours,Hearing -> Smell and Taste -> Vestibular -> Vision ->Touch,B,90 minutes,,,,,,,,,,,,,,,,,8084
2021/09/01 5:27:18 PM GMT+8,RN,<2 years,No,Below 40 dB,22 weeks of gestational age,C,24-28 weeks of gestational age,A preterm newborn can distinguish sound of different intensities and frequencies.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,Always,Always,Often,Sometimes,Often,Always,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,,8690
2021/09/04 8:51:27 PM GMT+8,RN,6 -10 years,Yes,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,,,,,,,,,,,,,,,,,9018
2021/08/22 8:54:58 PM GMT+8,RN,6 -10 years,Yes,Below 45 dB,22 weeks of gestational age,C,29-32 weeks of gestational age,Basic auditory structure is started to form at 20 weeks of gestational age.,C,A,More than 18 hours,Hearing -> Smell and Taste -> Vestibular -> Vision ->Touch,C,60 minutes,Often,Always,Rarely,Often,Always,Always,Neutral,Neutral,Agree,Disagree,Agree,Strongly Agree,Disagree,Neutral,Neutral,,9360
2021/08/20 2:53:47 PM GMT+8,RN,> 10years,Yes,Below 45 dB,22 weeks of gestational age,D,29-32 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,D,More than 18 hours,Hearing -> Smell and Taste -> Vestibular -> Vision ->Touch,D,45 minutes,Often,Always,Sometimes,Often,Always,Sometimes,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,,9533
2021/08/20 4:36:24 AM GMT+8,RN,2-5 years,No,Below 45 dB,12 weeks of gestational age,D,19-22 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,C,D,More than 18 hours,Touch -> Smell and Taste ->Vestibular -> Vision -> Hearing,C,90 minutes,Sometimes,Often,Rarely,Often,Often,Always,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,,9927
