Timestamp,1. Rank,2. How many years have you been working in the NICU/SCBU? ,3. Did you complete any specialty courses (e.g PRCC)?,"1. According to American Academy of Pediatrics (AAP), what is the ideal sound level in NICU?",2. When does a fetus start to hear sounds?,3. Which of the following about sleep is true?,4. When does a fetus start to hear and habituate to sounds outside the uterus and respond like an adult?,5. Which of the following statement is true?,6. What are the long term adverse effects of prolonged exposure of sound over 60dB on an infant?,7. Which of the following nursing intervention(s) can promote infant? brain development?,8. How many hours of sleep does a preterm baby need?,"9. Fetal development of the sensory system occurs in a specific sequence, which of the following is true?",10. What is/are the direct physiological adverse effect(s) of noise exposure on neonates?,11. What is the duration of a normal sleep cycle for a newborn?,Unnamed: 15,Telephone number (last 4 digits)
2021/08/20 4:22:12 AM GMT+8,RN,2-5 years,Yes,Below 45 dB,17 weeks of gestational age,D,19-22 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,D,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,8,3184
2021/08/20 5:46:12 AM GMT+8,RN,2-5 years,No,Below 45 dB,22 weeks of gestational age,D,19-22 weeks of gestational age,A preterm newborn can distinguish sound of different intensities and frequencies.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,7,3422
2021/09/16 9:21:29 PM GMT+8,RN,2-5 years,No,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,D,60 minutes,10,3440
2021/08/26 2:39:00 AM GMT+8,RN,<2 years,No,Below 45 dB,17 weeks of gestational age,D,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,10,4901
2021/09/13 9:08:07 PM GMT+8,RN,<2 years,No,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,D,60 minutes,10,5008
2021/08/20 3:33:03 AM GMT+8,RN,2-5 years,No,Below 45 dB,22 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,D,More than 18 hours,Hearing -> Smell and Taste -> Vestibular -> Vision ->Touch,B,60 minutes,8,5221
2021/09/02 9:12:34 PM GMT+8,RN,2-5 years,No,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,11,5399
2021/08/20 6:44:57 PM GMT+8,RN,6 -10 years,Yes,Below 45 dB,17 weeks of gestational age,D,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,D,More than 18 hours,Hearing -> Smell and Taste -> Vestibular -> Vision ->Touch,D,60 minutes,7,5541
2021/08/26 2:39:56 AM GMT+8,RN,6 -10 years,No,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Hearing -> Smell and Taste -> Vestibular -> Vision ->Touch,B,60 minutes,10,5550
2021/09/13 5:22:03 PM GMT+8,RN,> 10years,Yes,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,11,5933
2021/09/02 9:12:43 PM GMT+8,RN,6 -10 years,Yes,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,C,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,10,6161
2021/08/20 3:48:16 AM GMT+8,RN,2-5 years,No,Below 45 dB,17 weeks of gestational age,D,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,A,D,More than 18 hours,Hearing -> Smell and Taste -> Vestibular -> Vision ->Touch,B,60 minutes,7,6382
2021/09/04 8:51:51 PM GMT+8,RN,2-5 years,No,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,11,6762
2021/09/13 5:05:28 PM GMT+8,RN,2-5 years,No,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,11,6762
2021/09/17 5:40:15 AM GMT+8,RN,6 -10 years,Yes,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,11,7674
2021/09/16 9:22:21 PM GMT+8,RN,<2 years,No,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,D,60 minutes,10,7900
2021/09/03 2:58:49 PM GMT+8,RN,2-5 years,No,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,11,7951
2021/08/20 3:50:43 AM GMT+8,RN,2-5 years,No,Below 45 dB,17 weeks of gestational age,B,24-28 weeks of gestational age,A preterm newborn can distinguish sound of different intensities and frequencies.,C,D,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,D,60 minutes,8,7957
2021/09/13 9:36:10 PM GMT+8,RN,6 -10 years,Yes,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,11,8004
2021/08/20 10:21:54 PM GMT+8,RN,6 -10 years,Yes,Below 45 dB,22 weeks of gestational age,D,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,9,8084
2021/09/13 5:03:13 PM GMT+8,RN,2-5 years,No,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,11,8690
2021/09/04 8:51:27 PM GMT+8,RN,6 -10 years,Yes,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,11,9018
2021/08/22 8:54:58 PM GMT+8,RN,6 -10 years,Yes,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,D,60 minutes,10,9360
2021/09/16 9:21:42 PM GMT+8,RN,> 10years,Yes,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,11,9533
2021/09/16 9:22:48 PM GMT+8,RN,2-5 years,No,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,C,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,A,60 minutes,9,9927
2021/08/28 7:47:46 PM GMT+8,APN,> 10years,Yes,Below 45 dB,22 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,10,804
2021/08/20 5:50:19 AM GMT+8,APN,> 10years,Yes,Below 45 dB,17 weeks of gestational age,D,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,A,60 minutes,9,1687
2021/08/20 5:33:08 AM GMT+8,APN,> 10years,Yes,Below 45 dB,17 weeks of gestational age,A,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,A,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,9,2690
2021/09/17 6:06:20 AM GMT+8,APN,> 10years,Yes,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,11,3042
2021/08/20 3:45:12 AM GMT+8,APN,> 10years,Yes,Below 45 dB,17 weeks of gestational age,C,19-22 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,10,4365
2021/08/20 5:22:19 AM GMT+8,APN,> 10years,Yes,Below 45 dB,17 weeks of gestational age,D,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,C,60 minutes,11,6464
